id,valeur_NO2,valeur_CO,valeur_O3,valeur_PM10,valeur_PM25,2_wheeler_motor,4_wheeler_motor,bikes_scooters
2024-03-31 06,16.1,0.214,36.9,18.3,8.2,39,10,139
2024-03-31 07,12.1,0.185,46.2,18.3,8.3,92,46,76
2024-03-31 08,9.4,0.16,59,15.3,6.7,153,62,244
2024-03-31 09,8,0.151,68.6,11.3,4.9,238,42,235
2024-03-31 10,7.7,0.148,71.2,8.7,3.5,200,45,773
2024-03-31 11,8.9,0.148,71,8.1,3.8,291,67,493
2024-03-31 12,8.7,0.146,71.4,8.5,3.7,321,74,459
2024-03-31 13,9.7,0.156,68.9,10.9,4.7,349,52,618
2024-03-31 14,12.8,0.173,63.9,7,4.1,210,72,188
2024-03-31 15,13.6,0.205,64.1,6,4.2,262,81,671
2024-03-31 16,9.6,0.165,65.1,4.6,3.1,297,52,736
2024-03-31 17,15,0.212,55.7,10.3,8.2,474,16,858
2024-03-31 18,16.1,0.213,57.2,8.9,7,191,24,304
2024-03-31 19,19.9,0.235,51.4,10,7.8,323,24,519
2024-03-31 20,24.3,0.238,45.2,8,5.9,259,35,429
2024-03-31 21,23.1,0.237,46.6,6.8,4.6,333,37,152
2024-03-31 22,21,0.227,45.6,5.1,3.3,185,42,132
2024-03-31 23,20.4,0.215,47.8,5,2.9,107,44,179
2024-04-01 00,16.5,0.199,51.6,4.3,2.7,49,53,120
2024-04-01 01,15.6,0.199,55.2,4.3,2.4,54,51,62
2024-04-01 02,12.1,0.172,60,3.9,2.1,46,25,38
2024-04-01 03,9.5,0.175,61.4,4.1,2.3,47,39,36
2024-04-01 04,9.5,0.163,65.3,5.3,2.5,37,17,19
2024-04-01 05,11.9,0.167,61.9,6,3,79,51,94
2024-04-01 06,10.8,0.163,62.3,6.5,3.1,73,37,141
2024-04-01 07,11,0.176,59.2,7.5,3.4,154,60,293
2024-04-01 08,8.9,0.16,66,7.4,3.6,222,56,226
2024-04-01 09,9,0.177,68.1,10.6,5.4,234,63,376
2024-04-01 10,9.5,0.183,66.2,10.2,5.5,312,66,686
2024-04-01 11,8.3,0.172,69.9,12.5,8.2,164,61,646
2024-04-01 12,6.9,0.162,77.1,9.5,5.1,378,67,543
2024-04-01 13,7.8,0.157,78.3,9.4,5,217,40,741
2024-04-01 14,8.7,0.155,81.5,5.5,3,406,24,549
2024-04-01 15,8.5,0.166,82.5,6.4,3.5,364,54,831
2024-04-01 16,7.7,0.158,84.2,7.4,3.5,524,70,373
2024-04-01 17,10,0.171,80.6,9.8,5.3,356,44,768
2024-04-01 18,12.3,0.186,77,9.2,5.1,311,54,792
2024-04-01 19,11.7,0.182,72,6.8,5,353,69,468
2024-04-01 20,11.4,0.184,66.4,6.4,4.2,161,60,400
2024-04-01 21,9.3,0.167,66.4,4.3,2.7,256,19,236
2024-04-01 22,8.6,0.158,68.2,4.1,2.4,83,60,189
2024-04-01 23,6.2,0.148,71,6.2,3.5,91,31,82
2024-04-02 00,5.7,0.145,73.7,10.6,5.5,77,23,53
2024-04-02 01,5.4,0.14,75.9,12.7,6.6,50,29,34
2024-04-02 02,5.5,0.144,76.4,12.7,6.6,38,27,19
2024-04-02 03,6.6,0.145,75.5,12.6,6.6,82,27,43
2024-04-02 04,9.8,0.146,72,11.5,5.8,186,60,136
2024-04-02 05,16.3,0.167,64.9,10.8,5.4,294,115,542
2024-04-02 06,19.6,0.186,63.2,14.8,5.8,644,103,1476
2024-04-02 07,17.4,0.189,66.2,18.8,6.8,1061,106,1429
2024-04-02 08,13,0.177,72,21.3,8,594,109,740
2024-04-02 09,10.8,0.163,77.1,21.9,8.4,489,99,214
2024-04-02 10,8.5,0.156,79.8,17.7,8,766,74,673
2024-04-02 11,8.7,0.159,79.4,14.7,6.3,683,87,690
2024-04-02 12,12,0.163,73.9,11.4,4.7,830,109,771
2024-04-02 13,12.7,0.163,72.5,9.1,3.3,577,96,708
2024-04-02 14,12.2,0.162,70.3,10.5,4.6,813,108,844
2024-04-02 15,16,0.197,62.4,11.2,6.1,918,92,1049
2024-04-02 16,21.4,0.262,53.2,10.6,7.2,646,80,2064
2024-04-02 17,23.7,0.24,51.9,11.3,7.6,613,89,1961
2024-04-02 18,38.3,0.274,35.6,12.9,9.6,247,100,799
2024-04-02 19,40.9,0.294,28.7,14.8,10.7,414,91,768
2024-04-02 20,29.4,0.272,38,13.4,9.5,351,68,502
2024-04-02 21,20.8,0.223,46.2,10.4,7,282,43,355
2024-04-02 22,18.4,0.204,51.9,8.3,5.4,149,42,325
2024-04-02 23,7.8,0.154,70.6,5,3.3,65,19,103
2024-04-03 00,6.2,0.148,72.6,3.1,2,62,24,64
2024-04-03 01,7.8,0.152,67.4,3.3,2.1,75,21,25
2024-04-03 02,7.6,0.15,64.3,3,2,62,14,14
2024-04-03 03,9.9,0.151,59.5,3.1,1.7,39,20,33
2024-04-03 04,17.1,0.163,51.1,3,1.7,184,31,68
2024-04-03 05,26.1,0.177,42,3,1.8,329,95,360
2024-04-03 06,31.6,0.197,37.9,3.9,1.9,831,93,1674
2024-04-03 07,27.5,0.301,41.6,6.3,2.8,985,103,1323
2024-04-03 08,21.4,0.25,48.5,7.1,3.2,635,77,736
2024-04-03 09,16.5,0.215,59.2,10.8,5.8,529,94,765
2024-04-03 10,12.2,0.166,62.5,12.5,6.9,449,28,989
2024-04-03 11,11.9,0.164,64.7,13.5,7.4,605,90,530
2024-04-03 12,9.7,0.154,70.3,11,5.6,717,70,648
2024-04-03 13,9.6,0.148,71.4,10.6,3.7,718,81,710
2024-04-03 14,9.6,0.148,73.4,6.7,2.5,545,92,815
2024-04-03 15,10,0.148,81.9,6.4,2,519,106,1456
2024-04-03 16,12,0.16,82.9,8.2,2.3,1009,74,1944
2024-04-03 17,13.1,0.186,79.7,7.9,3,976,77,1891
2024-04-03 18,13.5,0.19,75.3,9.7,5,567,101,1511
2024-04-03 19,14.7,0.175,69.8,9.9,5.3,401,101,926
2024-04-03 20,9.3,0.161,71.9,6.4,3.6,319,33,587
2024-04-03 21,8.8,0.157,69.3,6.9,3.9,458,48,766
2024-04-03 22,6.5,0.143,66.9,9.5,5.8,269,44,360
2024-04-03 23,5.4,0.139,67.4,10.8,6.8,150,15,205
2024-04-04 00,4.5,0.133,68,11.6,7.4,92,17,100
2024-04-04 01,3.7,0.128,70.4,10.2,6.7,74,35,35
2024-04-04 02,4.7,0.127,73.1,8.3,5.7,58,24,53
2024-04-04 03,4.3,0.129,72.4,6.2,4.2,111,12,46
2024-04-04 04,6.8,0.134,69.6,4.6,3.1,199,54,89
2024-04-04 05,13.4,0.147,66,4.3,2.5,361,30,224
2024-04-04 06,18.8,0.188,63.5,5.1,2.1,728,25,215
2024-04-04 07,20.5,0.199,63.5,7.8,3.3,645,95,1423
2024-04-04 08,16.9,0.162,75.9,5.4,2.1,528,82,389
2024-04-04 09,21.4,0.189,66.1,6.5,2.5,545,60,533
2024-04-04 10,17.7,0.192,59.3,10.8,6,491,29,714
2024-04-04 11,9.8,0.168,70.4,13.8,8.1,544,49,416
2024-04-04 12,7,0.151,77.4,14,7.8,457,75,635
2024-04-04 13,7.8,0.152,78,12.8,7,720,112,577
2024-04-04 14,8.3,0.146,78.5,12.5,6.8,578,77,831
2024-04-04 15,11.2,0.162,73.7,13.7,8,580,95,1477
2024-04-04 16,11.5,0.166,72.8,15.4,8.8,948,71,2254
2024-04-04 17,13.7,0.188,68,14.5,8.9,1026,61,1378
2024-04-04 18,15.7,0.197,63,15.1,9.9,776,89,629
2024-04-04 19,12.1,0.192,60.8,15.5,10.9,422,78,837
2024-04-04 20,11.9,0.19,56.8,14,9.5,501,16,495
2024-04-04 21,11.2,0.173,52.8,10.9,7.1,367,56,451
2024-04-04 22,13.3,0.172,46.5,9.9,6.2,203,56,323
2024-04-04 23,14.5,0.179,43.4,8.9,5.8,179,30,191
2024-04-05 00,13.4,0.163,43.1,7.2,4.8,92,25,162
2024-04-05 01,12.3,0.154,45.6,6.7,4.1,82,25,53
2024-04-05 02,9.3,0.146,50.3,5.8,3.7,63,26,71
2024-04-05 03,10.9,0.147,48.8,6.3,3.6,65,36,75
2024-04-05 04,24.5,0.162,34.2,7.2,3.8,137,67,85
2024-04-05 05,42.5,0.206,19.9,11.4,4.8,231,56,532
2024-04-05 06,33.5,0.227,37.2,13.6,5.1,588,103,1169
2024-04-05 07,22.5,0.192,49.1,14.3,5.5,573,111,1592
2024-04-05 08,24.8,0.204,43.8,13.4,6.6,495,143,704
2024-04-05 09,23.4,0.224,45.4,12.8,6.5,644,73,768
2024-04-05 10,13.8,0.174,59.6,10.4,5.3,749,136,1069
2024-04-05 11,11.5,0.163,63.4,10.6,5.6,491,93,821
2024-04-05 12,10.9,0.161,60.3,12.6,5.8,742,80,618
2024-04-05 13,11.5,0.156,58.4,10.9,4.9,874,51,719
2024-04-05 14,11.7,0.153,59.1,9.1,4.6,834,71,1171
2024-04-05 15,14.2,0.189,59.1,10.5,5.9,651,36,1331
2024-04-05 16,19.7,0.215,51.4,10,6.3,805,19,1481
2024-04-05 17,32.7,0.288,34.6,15.1,11.6,798,58,1459
2024-04-05 18,48.8,0.33,18.4,21.3,17.3,640,42,745
2024-04-05 19,55.2,0.355,14.4,22.2,17.6,470,57,270
2024-04-05 20,64,0.379,3.1,18.9,13.9,393,41,602
2024-04-05 21,60.3,0.353,4,17.9,12.7,470,28,599
2024-04-05 22,52.3,0.33,7.9,16.3,11.4,323,27,254
2024-04-05 23,48.3,0.325,6.6,14.7,10,277,50,319
2024-04-06 00,48.7,0.321,5.9,16,9.6,90,55,311
2024-04-06 01,25.8,0.21,31.7,11.3,6.7,95,54,144
2024-04-06 02,18.1,0.196,38.1,9.4,5.7,82,29,154
2024-04-06 03,15.6,0.179,44.5,8.7,5.1,70,59,134
2024-04-06 04,18.3,0.172,49.2,9.5,4.5,81,32,61
2024-04-06 05,29.3,0.181,45.6,,5.6,90,37,225
2024-04-06 06,20.1,0.17,59.3,,5.4,150,22,314
2024-04-06 07,17,0.169,64.4,,4.6,279,66,483
2024-04-06 08,15.1,0.173,68.5,,4.9,427,52,809
2024-04-06 09,14.4,0.191,71.3,,5.7,397,35,550
2024-04-06 10,16.2,0.189,69.6,,6.7,289,49,1011
2024-04-06 11,16.4,0.193,70.2,,8.8,363,50,1029
2024-04-06 12,9.2,0.158,83.2,,7.1,502,44,1039
2024-04-06 13,7.9,0.148,82.8,,7.2,765,93,1219
2024-04-06 14,9.9,0.162,78.2,,7.3,643,94,1002
2024-04-06 15,13.4,0.187,74.8,,8.7,925,69,1457
2024-04-06 16,16.9,0.198,70.6,,11.3,937,77,1484
2024-04-06 17,23.2,0.231,67.7,,10.5,396,83,1101
2024-04-06 18,30.4,0.288,55.4,,16.4,769,86,1034
2024-04-06 19,32.9,0.3,49.7,,22,421,88,663
2024-04-06 20,36.5,0.33,45.2,36.3,19.4,445,67,588
2024-04-06 21,25.9,0.232,51.8,24.8,10.2,407,51,597
2024-04-06 22,18.9,0.188,65,21.2,8.2,356,62,562
2024-04-06 23,11.3,0.156,76.6,15.2,6.7,194,41,487
2024-04-07 00,7.1,0.133,89.3,11.1,4.8,217,34,280
2024-04-07 01,5.9,0.127,93.2,6.4,3.1,63,37,207
2024-04-07 02,5.2,0.125,93.2,5.9,2.7,108,46,179
2024-04-07 03,5.6,0.128,87.5,4.9,2.6,70,20,118
2024-04-07 04,6.3,0.132,82.9,5.9,2.9,72,15,100
2024-04-07 05,6.9,0.132,80.2,5.9,3.1,75,10,86
2024-04-07 06,7.7,0.153,75.7,7.2,3.5,34,5,168
2024-04-07 07,8,0.175,74.4,7.5,3.6,94,6,258
2024-04-07 08,,0.182,70.9,8.1,4.3,115,5,498
2024-04-07 09,,0.177,73,10.8,4.8,124,17,589
2024-04-07 10,8.7,0.177,72.3,12.2,5.9,217,8,857
2024-04-07 11,7.9,0.17,75.9,12.6,6.7,290,8,847
2024-04-07 12,10.7,0.159,71.5,12.7,6.5,381,4,813
2024-04-07 13,10.6,0.167,71.3,13.2,7.4,438,9,513
2024-04-07 14,10.4,0.152,73.5,8.9,5.2,326,12,729
2024-04-07 15,15.3,0.169,67.2,9.4,5.2,315,26,706
2024-04-07 16,17.2,0.192,62.1,10.4,5.8,295,65,925
2024-04-07 17,25.9,0.219,54.5,11.1,7,327,60,946
2024-04-07 18,15.4,0.188,60.6,10,6,344,79,395
2024-04-07 19,10.4,0.165,73.4,6.6,4.6,293,64,411
2024-04-07 20,8,0.156,82.6,5,3.4,250,60,394
2024-04-07 21,14.6,0.172,70.3,6,3.7,157,21,161
2024-04-07 22,,0.151,70.7,5,3.3,139,41,106
2024-04-07 23,,0.157,69,5.6,3.3,69,34,108
2024-04-08 00,18.7,0.179,55.2,7.1,5.2,50,31,64
2024-04-08 01,16.4,0.168,59.4,6.5,4.9,58,22,36
2024-04-08 02,13.1,0.157,58.1,6.8,5.2,33,27,21
2024-04-08 03,14.8,0.162,54.8,8.7,7,94,33,74
2024-04-08 04,22.2,0.167,43.9,9,6.9,90,48,172
2024-04-08 05,34.3,0.184,30.1,9.2,6.5,293,130,495
2024-04-08 06,35.4,0.221,30.2,12.5,7.7,466,135,1233
2024-04-08 07,42.7,0.226,28.1,17.2,8.5,1028,91,1430
2024-04-08 08,26.1,0.177,51.4,15.5,7.6,368,117,761
2024-04-08 09,19.9,0.176,50.7,14.9,6.7,447,71,605
2024-04-08 10,18.1,0.173,51,14.2,7.3,343,105,936
2024-04-08 11,15.8,0.175,58.6,23.2,9.7,327,115,706
2024-04-08 12,10.9,0.159,69.3,37,12.1,562,58,752
2024-04-08 13,9.6,0.162,76.7,45.3,15.2,463,99,642
2024-04-08 14,9.6,0.158,76.3,48.1,15.9,626,88,793
2024-04-08 15,11,0.161,74.2,51.2,17.3,239,107,1589
2024-04-08 16,11.4,0.174,73.7,43.6,14.8,786,26,1695
2024-04-08 17,11.3,0.169,72.1,36.8,13.1,657,99,2181
2024-04-08 18,10.6,0.162,69.8,26.7,10.1,423,77,1081
2024-04-08 19,10.5,0.142,66.9,12.3,5.3,421,67,877
2024-04-08 20,7.4,0.137,70.4,8.5,3.8,474,45,537
2024-04-08 21,4.9,0.131,78.3,4.7,1.6,285,37,551
2024-04-08 22,3.3,0.123,85.2,5.3,2.2,129,35,252
2024-04-08 23,4.1,0.127,80.6,5,2.5,112,22,94
2024-04-09 00,1.1,0.125,87.5,7,3.1,77,25,81
2024-04-09 01,2.7,0.126,85.6,7.3,3.6,43,22,31
2024-04-09 02,3.3,0.127,88.2,8.6,4,50,17,35
2024-04-09 03,3.3,0.127,88.3,9.1,4.5,104,32,64
2024-04-09 04,8.3,0.134,81.4,10.1,4.6,168,70,161
2024-04-09 05,13.5,0.145,72.9,10.2,4.8,136,66,570
2024-04-09 06,12.8,0.151,74.7,12.5,5.2,824,126,1996
2024-04-09 07,11.4,0.158,75.6,13.8,5.1,797,74,1349
2024-04-09 08,11.3,,77.6,13.3,5.1,593,127,858
2024-04-09 09,10.4,0.155,77.9,15.8,5.5,722,196,621
2024-04-09 10,10.9,0.165,76.7,14.7,5.8,706,155,624
2024-04-09 11,8.7,0.155,77.1,12.9,5.5,638,51,879
2024-04-09 12,7.8,0.151,82,13.3,5.5,297,110,451
2024-04-09 13,10.9,0.155,79.1,10.6,3.7,385,70,645
2024-04-09 14,9.1,0.152,82,6.2,2.8,377,84,823
2024-04-09 15,8.9,0.156,84.4,7.9,3,528,81,1080
2024-04-09 16,10.3,0.179,80.5,7.9,4.2,644,64,2292
2024-04-09 17,16,0.208,73.2,9.6,5.1,620,22,1743
2024-04-09 18,14.5,0.176,75.9,9.8,5.6,528,114,1224
2024-04-09 19,22.4,0.182,63.1,11.3,6.1,323,74,440
2024-04-09 20,21,0.185,62.5,12.3,6.2,413,67,769
2024-04-09 21,13.9,0.18,66.3,10.5,5.4,297,57,463
2024-04-09 22,7.9,0.161,73,11.3,5.4,175,63,273
2024-04-09 23,6.9,0.157,73.6,12.4,6,108,26,170
2024-04-10 00,6.1,0.152,71.7,13.5,6.3,57,23,93
2024-04-10 01,5.1,0.153,68.8,15.2,6.8,32,19,34
2024-04-10 02,5.4,0.148,68.4,14.9,7,23,1,45
2024-04-10 03,6.2,0.148,65.7,14.8,6.9,77,33,81
2024-04-10 04,11.8,0.159,58,15.4,6.9,130,65,161
2024-04-10 05,21.8,0.184,47.5,17.2,7.4,262,89,437
2024-04-10 06,26.8,0.213,43.8,18.5,7.7,560,87,1764
2024-04-10 07,24.8,0.227,47.4,20,8.4,953,103,2177
2024-04-10 08,20.7,0.24,56.4,19.8,8.7,696,108,707
2024-04-10 09,11.9,0.172,72.5,16.4,7.1,687,91,410
2024-04-10 10,6.4,0.151,83.1,13.6,5.8,507,84,991
2024-04-10 11,8,0.491,84.6,13,6.1,753,107,736
2024-04-10 12,5.2,0.153,89.4,13.2,5,551,80,907
2024-04-10 13,5.5,0.153,89.5,12.8,5.4,564,103,828
2024-04-10 14,3.6,0.15,90.6,14.7,5.2,706,86,772
2024-04-10 15,4.2,0.159,89.2,15.4,4.9,603,83,1213
2024-04-10 16,6.9,0.159,87.1,13.3,4.5,738,87,2630
2024-04-10 17,8.2,0.161,82.4,13.6,4.3,1070,77,1509
2024-04-10 18,19.4,0.185,65.7,14,5.3,495,72,726
2024-04-10 19,24,0.228,60.4,19.1,9.9,456,82,951
2024-04-10 20,18.3,0.236,59,13.5,8.2,246,51,618
2024-04-10 21,20.3,0.222,53.1,12.1,6.4,650,28,838
2024-04-10 22,27.7,0.237,42,11.8,6.1,142,41,466
2024-04-10 23,23.6,0.208,42.7,9.9,5.8,130,21,102
2024-04-11 00,22.9,0.2,38.9,9.7,5.5,32,21,90
2024-04-11 01,20.3,0.193,39.8,9.4,5.1,79,29,48
2024-04-11 02,10.6,0.169,51.5,8.4,4.5,54,28,48
2024-04-11 03,5.5,0.151,60,6.6,3.8,78,21,72
2024-04-11 04,12.1,0.162,50.9,6.7,3.9,78,63,201
2024-04-11 05,20.8,0.17,43.1,9.5,4.4,226,118,563
2024-04-11 06,23.3,0.188,40.3,12.3,5.1,748,116,1953
2024-04-11 07,33.9,0.573,28.6,,,816,137,1472
2024-04-11 08,21.9,0.223,37.4,,,535,128,824
2024-04-11 09,20.2,0.211,40.7,20,7.6,527,67,613
2024-04-11 10,14.8,0.188,45.6,16.2,6.7,763,121,916
2024-04-11 11,13.7,0.21,45.6,21.9,9.8,726,100,692
2024-04-11 12,14.8,0.195,45.8,20.1,8.3,357,91,595
2024-04-11 13,14.3,0.175,46.5,21.5,8.4,728,70,602
2024-04-11 14,12.8,0.176,48.4,,10.5,841,58,1036
2024-04-11 15,12.6,0.181,48,,10.4,705,63,1434
2024-04-11 16,14.8,0.176,44.7,,6.9,1033,51,1752
2024-04-11 17,18.8,0.21,39.4,,8.7,1138,68,2134
2024-04-11 18,21.8,0.228,33.1,,9.2,581,111,1292
2024-04-11 19,33,0.305,20,,15,542,77,997
2024-04-11 20,38,0.352,12,,17,597,48,864
2024-04-11 21,47,0.396,1.4,,14.6,463,48,863
2024-04-11 22,44.8,0.395,1,,12.4,,,
2024-04-11 23,44.6,0.396,-1,,10.6,,,
2024-04-12 00,43.9,0.328,-1.1,,9.2,,,
2024-04-12 01,44.9,0.392,-1.5,15.3,10.1,,,
2024-04-12 02,40.1,0.321,-1.5,13.1,8.8,,,
2024-04-12 03,37.5,0.37,-1.7,15.9,10.1,,,
2024-04-12 04,35.3,0.365,-1.9,17.1,10.1,,,
2024-04-12 05,35.1,0.393,-1.3,22.1,12,,,
2024-04-12 06,37.8,0.419,0.3,,14,,,
2024-04-12 07,42.4,0.542,3.4,,13.7,,,
2024-04-12 08,36.9,0.298,12.5,,11.9,,,
2024-04-12 09,24.6,0.238,29.7,,8.2,,,
2024-04-12 10,13.4,0.177,57.2,,7.7,,,
2024-04-12 11,8.6,0.167,69.7,,7.2,,,
2024-04-12 12,8.7,0.171,73.4,,6.5,,,
2024-04-12 13,6.1,0.14,76.4,,5.8,,,
2024-04-12 14,6.9,0.144,75.6,,6.5,,,
2024-04-12 15,8.2,0.15,75.3,,6.5,,,
2024-04-12 16,9.3,0.154,73.6,,6.9,,,
2024-04-12 17,15,0.183,65.7,,9.1,,,
2024-04-12 18,18.4,0.272,57.1,,19.8,,,
2024-04-12 19,25.7,0.355,44,,25.9,,,
2024-04-12 20,42.7,0.346,24.7,,19.1,,,
2024-04-12 21,61,0.333,9.9,24.4,15.2,,,
2024-04-12 22,54.1,0.338,10.3,21.7,14,371,52,423
2024-04-12 23,61.7,0.332,1.1,20,12.5,235,42,158
2024-04-13 00,61.4,0.338,1.2,17.9,11.3,200,52,238
2024-04-13 01,44.4,0.252,16.7,13.9,9.2,139,58,186
2024-04-13 02,39.2,0.238,17.1,14.8,9.6,111,59,114
2024-04-13 03,40.7,0.242,13,15.7,10.2,80,56,122
2024-04-13 04,46.3,0.243,7.5,18,10.8,99,64,95
2024-04-13 05,45.3,0.252,4.2,18.6,11.5,77,91,165
2024-04-13 06,39.1,0.264,8.5,,13.6,98,99,324
2024-04-13 07,39.9,0.292,12.7,,15.1,208,86,407
2024-04-13 08,34.1,0.261,23.3,,13.4,228,83,834
2024-04-13 09,25.7,0.226,37.8,,10.7,167,103,974
2024-04-13 10,15.5,0.18,60.7,,8.4,474,118,1074
2024-04-13 11,11,0.172,67.9,,9.5,619,57,776
2024-04-13 12,7.5,0.154,74.4,,8.2,522,97,801
2024-04-13 13,7.7,0.147,77.6,,6.2,554,85,413
2024-04-13 14,8.7,0.148,77.8,,6.6,493,92,849
2024-04-13 15,9.2,0.155,74.3,,6,389,80,1747
2024-04-13 16,11.2,0.19,71.3,,6.6,838,59,1141
2024-04-13 17,14,0.19,66.4,,7.7,625,60,1884
2024-04-13 18,19.1,0.209,56.4,,10.6,522,74,922
2024-04-13 19,24.4,0.234,47.5,,11.5,393,82,941
2024-04-13 20,28.9,0.276,37.2,,10.5,453,54,789
2024-04-13 21,30.3,0.243,36.7,,8.7,320,53,782
2024-04-13 22,18.3,0.19,47,16,7.2,331,54,301
2024-04-13 23,13.5,0.161,58.3,11.6,5.6,79,38,420
2024-04-14 00,11.2,0.153,66.5,8.6,4.2,231,52,311
2024-04-14 01,9.1,0.144,70.9,7.5,4.1,109,36,96
2024-04-14 02,8,0.139,70.6,8.2,4.6,94,31,134
2024-04-14 03,6.6,0.129,68.4,7.7,4.5,100,43,121
2024-04-14 04,5.4,0.127,63.1,9,5.7,61,3,65
2024-04-14 05,6.4,0.129,56.5,10.6,7.3,76,45,60
2024-04-14 06,6,0.126,58.8,8.5,6.7,72,60,131
2024-04-14 07,5.6,0.124,58,10.5,7.8,144,53,177
2024-04-14 08,6.2,0.13,57.1,11.3,7.5,144,39,323
2024-04-14 09,6,0.136,61,12.8,6.8,302,48,764
2024-04-14 10,,0.144,67.1,12.5,6.4,384,64,1028
2024-04-14 11,,0.144,73.4,14.1,6.3,379,82,679
2024-04-14 12,6.7,0.145,75.6,20.8,7,411,82,623
2024-04-14 13,6.2,0.139,79,22.9,6.7,401,56,908
2024-04-14 14,6,0.139,82.4,24.9,6.5,501,80,1124
2024-04-14 15,6.4,0.138,82.3,26,7.5,538,45,728
2024-04-14 16,8.4,0.153,72,21.3,8.6,488,63,1040
2024-04-14 17,9.4,0.157,70.5,21,9,756,85,1062
2024-04-14 18,12.5,0.175,68.1,17.9,11,414,76,799
2024-04-14 19,12.8,0.168,67.4,17.9,11.4,371,58,360
2024-04-14 20,10.6,0.154,69.6,18.3,8.8,285,26,473
2024-04-14 21,7.9,0.146,65.1,14.7,7.3,240,9,333
2024-04-14 22,8,0.146,69.9,12.5,6.8,167,25,163
2024-04-14 23,5.8,0.137,76.9,12.1,6,64,18,84
2024-04-15 00,5.2,0.138,77,9.4,5,36,26,52
2024-04-15 01,4,0.131,80.4,8.6,5,31,17,30
2024-04-15 02,5.9,0.135,74.1,12,6.4,37,27,27
2024-04-15 03,6.3,0.14,74,13.8,7,73,31,85
2024-04-15 04,7,0.139,71.2,12.7,6.7,118,61,170
2024-04-15 05,15.5,0.161,57.1,12.7,6.4,153,92,254
2024-04-15 06,16.6,0.159,58.7,15.7,6.5,742,75,1767
2024-04-15 07,13.3,0.161,69.5,20.1,6.4,646,83,1122
2024-04-15 08,9.6,0.219,78.5,32.1,7,611,112,383
2024-04-15 09,9.6,0.146,78.1,40.8,7.8,561,11,390
2024-04-15 10,7.3,0.147,81.5,29.8,6.4,592,168,666
2024-04-15 11,7.7,0.146,78.8,,7.5,483,59,234
2024-04-15 12,8.3,0.144,77.9,,8.4,601,19,326
2024-04-15 13,7.6,0.145,76.7,,5.2,605,115,568
2024-04-15 14,8.1,0.142,80.4,24.7,4.9,373,66,427
2024-04-15 15,10.6,0.149,81.5,8.5,4.1,333,55,999
2024-04-15 16,11.4,0.156,77.3,10.5,5,737,38,1121
2024-04-15 17,10.4,0.16,83.7,15,6.4,759,14,2018
2024-04-15 18,13.5,0.166,79.5,15.8,6.8,256,36,793
2024-04-15 19,7.1,0.153,89,13.8,6.5,351,38,502
2024-04-15 20,8.7,0.15,84.5,12.3,5.9,242,53,569
2024-04-15 21,7.6,0.15,84.7,8.8,4.5,235,41,414
2024-04-15 22,6.1,0.15,79.8,9.5,4.8,153,40,199
2024-04-15 23,5.3,0.145,79.9,10,5.4,113,24,102
2024-04-16 00,4.5,0.145,77.4,10.3,5.4,53,27,34
2024-04-16 01,4,0.143,76.3,12.1,6.2,23,13,11
2024-04-16 02,3.9,0.141,75.6,13.5,6.7,43,16,35
2024-04-16 03,4.4,0.138,75.5,12.9,6.4,99,31,73
2024-04-16 04,7.6,0.142,71.2,12.5,6.4,149,58,73
2024-04-16 05,15.4,0.156,61.2,13.5,6.9,316,95,239
2024-04-16 06,16.5,0.162,60.9,16.1,7.9,841,111,484
2024-04-16 07,15.3,0.228,60.6,18,8.1,1121,77,1304
2024-04-16 08,18.5,0.24,56.7,16.7,7.4,586,116,676
2024-04-16 09,19.8,0.174,56.6,12.7,6,249,112,423
2024-04-16 10,13,0.171,69.8,9.8,4.8,529,58,587
2024-04-16 11,10.6,0.172,73,10.3,5.1,215,110,571
2024-04-16 12,9.5,0.16,76.9,12.5,4.4,410,75,505
2024-04-16 13,7.7,0.15,79.8,11.8,4.2,445,86,483
2024-04-16 14,7.2,0.148,83.1,9.4,4.1,315,123,694
2024-04-16 15,7.8,0.15,84.7,8.5,3.9,619,113,652
2024-04-16 16,10.6,0.173,80.3,7.4,3.7,887,67,2259
2024-04-16 17,9.7,0.167,81.6,9.3,5.1,770,91,1749
2024-04-16 18,9.8,0.174,82.8,8.7,4.6,629,85,1487
2024-04-16 19,11.4,0.171,81.2,7.5,4.4,385,108,527
2024-04-16 20,10.3,0.166,79.7,7.1,3.9,386,87,691
2024-04-16 21,10.7,0.17,76.8,6,3.5,405,30,466
2024-04-16 22,9.9,0.164,73.2,8.1,4.9,209,49,355
2024-04-16 23,11.5,0.168,65.5,8.2,4.7,88,26,152
2024-04-17 00,10.3,0.165,63.9,8.5,4.8,67,13,45
2024-04-17 01,9.4,0.161,62,9,5,32,19,36
2024-04-17 02,8.9,0.159,61.1,8.3,4.8,42,19,24
2024-04-17 03,10.2,0.162,62.5,8.1,4.3,91,25,70
2024-04-17 04,13.9,0.17,60,7.7,4.1,148,66,144
2024-04-17 05,23.1,0.177,47.9,7.6,3.9,196,93,285
2024-04-17 06,22,0.179,51.5,8.4,4,627,108,1595
2024-04-17 07,19.2,0.204,61,12,4.9,937,153,1347
2024-04-17 08,21.4,0.256,67.7,15.6,5.3,579,89,712
2024-04-17 09,11.5,0.162,73.6,11.8,4.6,578,103,644
2024-04-17 10,7.7,0.157,78.5,9.9,4.1,705,72,600
